prompt,model,model_id,diagnosis,inferred_diagnosis,template,split_count,image_path,reference_image_paths,ssim,color_similarity,shape_similarity,performance
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_000.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_000_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_000_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_000_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_000_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_000_4.png']",0.4129783168691423,0.0,0.01708485649366153,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_001.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_001_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_001_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_001_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_001_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_001_4.png']",0.45491655252162555,0.054170017116937016,0.014834414262970514,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_002.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_002_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_002_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_002_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_002_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_002_4.png']",0.2737470962678719,0.0,0.013190012378045754,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_003.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_003_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_003_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_003_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_003_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_003_4.png']",0.3667401360022726,0.0,0.05721658191421234,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_004.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_004_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_004_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_004_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_004_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_004_4.png']",0.03304591282412616,0.0,0.01613788874709697,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_005.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_005_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_005_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_005_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_005_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_005_4.png']",0.26800039859567387,0.0,0.04346449751015191,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_006.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_006_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_006_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_006_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_006_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_006_4.png']",0.1511829921224529,0.0,0.012824282238458976,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_007.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_007_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_007_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_007_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_007_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_007_4.png']",0.3747961033741797,0.0,0.01943062685769628,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_008.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_008_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_008_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_008_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_008_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_008_4.png']",0.5933531284111757,0.004155166818033064,0.01955043799585528,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
"Gnenerate a dermoscopic skin lesion of a single melanocytic nevus, extreme close-up macro, ISIC-style, skin only, no body parts, lesion visible, clinical lighting, sharp focus, clinical photo",sd,stable-diffusion-v1-5/stable-diffusion-v1-5,nv,nv,template_1,10,C:\Users\Victor\Desktop\University\Master\Semester 1\Synthetic Data Generation for Skin Cancer Detection\POC\synthetic-data-gen\logs\experiments\experiment_4_random_100_20251218_185455\images\image_009.png,"['C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_009_0.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_009_1.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_009_2.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_009_3.png', 'C:\\Users\\Victor\\Desktop\\University\\Master\\Semester 1\\Synthetic Data Generation for Skin Cancer Detection\\POC\\synthetic-data-gen\\logs\\experiments\\experiment_4_random_100_20251218_185455\\images\\ref_009_4.png']",0.29598989908287143,0.0,0.04178298799666826,"{'total_time_seconds': 35.282262086868286, 'seconds_per_image': 3.528226208686829, 'avg_power_watts': 154.56693548387102, 'peak_power_watts': 175.42, 'total_energy_wh': 1.5148530910294442, 'energy_per_image_wh': 0.15148530910294442}"
